timestamp,event,client_id,algorithm,rtt_ms,offset_ms,server_time,client_time
2026-03-24T15:36:58.473824,TIME_SERVED,client-4,cristian,0,0,1774366618.470778,0
2026-03-24T15:36:58.502686,SYNC_REPORT,client-4,cristian,1.209,0.228,1774366618.470778,1774366620.493601
2026-03-24T15:36:59.781819,TIME_SERVED,client-0,cristian,0,0,1774366619.779916,0
2026-03-24T15:36:59.813938,SYNC_REPORT,client-0,cristian,0.778,0.047,1774366619.779916,1774366618.689702
2026-03-24T15:37:00.606039,TIME_SERVED,client-1,cristian,0,0,1774366620.60014,0
2026-03-24T15:37:00.621787,SYNC_REPORT,client-1,cristian,2.136,0.666,1774366620.60014,1774366620.157735
2026-03-24T15:37:01.511862,TIME_SERVED,client-2,cristian,0,0,1774366621.510015,0
2026-03-24T15:37:01.543222,SYNC_REPORT,client-2,cristian,0.849,0.127,1774366621.510015,1774366620.829376
2026-03-24T15:37:02.571583,TIME_SERVED,client-3,cristian,0,0,1774366622.554682,0
2026-03-24T15:37:03.546144,TIME_SERVED,client-4,cristian,0,0,1774366623.52942,0
2026-03-24T15:37:03.557381,SYNC_REPORT,client-4,cristian,0.596,0.042,1774366623.52942,1774366625.42312
2026-03-24T15:37:04.821283,TIME_SERVED,client-0,cristian,0,0,1774366624.818339,0
2026-03-24T15:37:04.857291,SYNC_REPORT,client-0,cristian,2.22,0.431,1774366624.818339,1774366623.544528
2026-03-24T15:37:05.637218,TIME_SERVED,client-1,cristian,0,0,1774366625.635059,0
2026-03-24T15:37:05.667082,SYNC_REPORT,client-1,cristian,0.892,0.117,1774366625.635059,1774366625.349102
2026-03-24T15:37:06.570214,TIME_SERVED,client-2,cristian,0,0,1774366626.567127,0
2026-03-24T15:37:06.601162,SYNC_REPORT,client-2,cristian,0.824,0.107,1774366626.567127,1774366625.672987
2026-03-24T15:37:08.564301,TIME_SERVED,client-4,cristian,0,0,1774366628.562156,0
2026-03-24T15:37:08.590713,SYNC_REPORT,client-4,cristian,1.632,0.536,1774366628.562156,1774366630.417283
2026-03-24T15:37:09.884294,TIME_SERVED,client-0,cristian,0,0,1774366629.881527,0
2026-03-24T15:37:09.915165,SYNC_REPORT,client-0,cristian,0.809,0.168,1774366629.881527,1774366628.606268
2026-03-24T15:37:10.695791,TIME_SERVED,client-1,cristian,0,0,1774366630.6935,0
2026-03-24T15:37:10.708588,SYNC_REPORT,client-1,cristian,0.862,0.133,1774366630.6935,1774366630.496162
2026-03-24T15:37:11.629025,TIME_SERVED,client-2,cristian,0,0,1774366631.62708,0
2026-03-24T15:37:11.645570,SYNC_REPORT,client-2,cristian,0.939,0.256,1774366631.62708,1774366630.900731
2026-03-24T15:37:13.623014,TIME_SERVED,client-4,cristian,0,0,1774366633.596966,0
2026-03-24T15:37:13.654814,SYNC_REPORT,client-4,cristian,3.666,1.477,1774366633.596966,1774366635.337157
2026-03-24T15:37:14.922520,TIME_SERVED,client-0,cristian,0,0,1774366634.920229,0
2026-03-24T15:37:14.958819,SYNC_REPORT,client-0,cristian,1.724,0.672,1774366634.920229,1774366633.92354
2026-03-24T15:37:15.719222,TIME_SERVED,client-1,cristian,0,0,1774366635.712944,0
2026-03-24T15:37:15.733447,SYNC_REPORT,client-1,cristian,1.679,0.462,1774366635.712944,1774366635.252734
2026-03-24T15:37:16.652710,TIME_SERVED,client-2,cristian,0,0,1774366636.649996,0
2026-03-24T15:37:16.670553,SYNC_REPORT,client-2,cristian,1.757,0.423,1774366636.649996,1774366635.834361
2026-03-24T15:37:18.673060,TIME_SERVED,client-4,cristian,0,0,1774366638.670077,0
2026-03-24T15:37:18.697498,SYNC_REPORT,client-4,cristian,0.926,0.141,1774366638.670077,1774366640.121297
2026-03-24T15:37:19.965688,TIME_SERVED,client-0,cristian,0,0,1774366639.963301,0
2026-03-24T15:37:19.981685,SYNC_REPORT,client-0,cristian,1.676,0.513,1774366639.963301,1774366639.04018
2026-03-24T15:37:20.741922,TIME_SERVED,client-1,cristian,0,0,1774366640.740154,0
2026-03-24T15:37:20.754787,SYNC_REPORT,client-1,cristian,1.216,0.358,1774366640.740154,1774366640.487406
2026-03-24T15:37:21.687611,TIME_SERVED,client-2,cristian,0,0,1774366641.684964,0
